round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9470157191753387,0.6344729435911488,0.6963588489729765,0.04655789291818821,0.0005,1.7354495525360107
2,0.9337947914600372,0.6476973303298911,0.5889694401011131,0.4854750418944167,0.0005,1.757603406906128
3,0.9133527469635009,0.6629986267300974,0.5394871586671318,0.5079973130169717,0.0005,1.767740249633789
4,0.8950429799556732,0.6782808480553112,0.5157169238921923,0.5158046084445779,0.0005,1.7641839981079102
5,0.9003019299507141,0.6881612833878129,0.4965247710558382,0.5172706799227418,0.0005,1.7798378467559814
