round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9565623188018797,0.6380115338889885,0.6218712656179636,0.4487362903093914,0.0005,2.2838053703308105
2,0.9125201485157012,0.6687328789459712,0.5963264231184057,0.4996649698870167,0.0005,1.6674435138702393
3,0.8617554218769072,0.7247303105133169,0.5909043074035117,0.5505254743237739,0.0005,1.6722333431243896
4,0.8023281497955324,0.7761244144334837,0.632518377767082,0.5860714479123418,0.0005,1.6421349048614502
5,0.7615327687263489,0.8207957209558892,0.6927102725855159,0.6211464102315859,0.0005,1.6361198425292969
