round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9603639357089996,0.5367816498052169,0.31460290614718345,0.46217387659289066,0.00016666666666666666,4.157010555267334
2,0.9642085263729095,0.5708578554374266,0.510574728239821,0.44333498597683385,0.0003333333333333333,4.197910785675049
3,0.9311537046432494,0.5778631472039465,0.5731304518305116,0.4087201283364214,0.0005,4.244807720184326
4,0.9208001976013185,0.5723713981888539,0.5001562530883357,0.432322965132681,0.0005,4.2009124755859375
5,0.9004236912727356,0.5701193289214228,0.4499378459937509,0.4653684958192973,0.0005,4.231100559234619
6,0.8852676198482513,0.5743604070204931,0.42720769587860447,0.4837122587317836,0.0005,4.222029447555542
7,0.8966275913715362,0.5656813545926811,0.4193239930490079,0.49073248983577006,0.0005,4.23887300491333
8,0.8875621042251586,0.5958037140474555,0.4176455410710575,0.49666550930628556,0.0005,4.22053074836731
9,0.8907012858390807,0.5868517342451989,0.41636666964037217,0.4997069328693104,0.0005,4.276302814483643
10,0.8820359885692597,0.6310460038237553,0.4260687844791804,0.5033528070108937,0.0005,4.248669385910034
11,0.8785591032505036,0.6201503854379877,0.4452149962365709,0.4996046608105393,0.0005,4.2865331172943115
12,0.8803178033828736,0.6211954591288801,0.4599401804416006,0.4964667021291432,0.0005,4.250351667404175
13,0.8762428281307221,0.625961645877219,0.49679507554369395,0.492841217873239,0.0005,4.328968524932861
14,0.88828755569458,0.6194592887516803,0.4235665982714402,0.5042592662356099,0.0005,4.244477987289429
15,0.8867745974063872,0.6165634341184134,0.4223390099056445,0.5054333906552998,0.0005,4.237637281417847
16,0.8876862738132477,0.6173323594779687,0.4327777846036487,0.506083143818963,0.0005,4.237697601318359
17,0.8901001737117766,0.6199022324559147,0.4921956256614046,0.5027636996279323,0.0005,4.208772897720337
18,0.8781338438987731,0.6312831152664241,0.5549185534115791,0.4955639590288297,0.0005,4.218713283538818
19,0.8688459005355835,0.639366912203739,0.6077187423042015,0.4418768677929414,0.0005,4.22403359413147
20,0.8767141497135162,0.6432651197964746,0.588080533643026,0.484049728340872,0.0005,4.233778476715088
21,0.8840750718116759,0.6271424099658984,0.47413490544417813,0.5007668027166725,0.0005,4.223544120788574
22,0.8853144912719726,0.6404060878059682,0.5191176321326864,0.4998722171109067,0.0005,4.217527866363525
23,0.8567321155071259,0.6428996266015556,0.611454393062256,0.44562398104272627,0.0005,4.202589988708496
24,0.8778943257331848,0.6452899490611944,0.5305655079721127,0.49952501907896985,0.0005,4.240269422531128
25,0.879154522418976,0.6472666273840834,0.5503447450617347,0.48978834779382974,0.0005,4.21984076499939
26,0.8734408237934111,0.6509426317363883,0.535922985657302,0.4994782961399676,0.0005,4.21754264831543
27,0.8671357278823851,0.6518651787931133,0.586324088670556,0.4814395669299248,0.0005,4.214317798614502
28,0.8745874104499818,0.6622476882729582,0.5924871378333867,0.4913814427490841,0.0005,4.2824952602386475
29,0.8657759528160096,0.6546621385025462,0.606234204415365,0.46804933018590833,0.0005,4.224356174468994
30,0.862620453119278,0.6713730439833343,0.6361268892600975,0.48206305816513134,0.0005,4.2339630126953125
31,0.8659742093086242,0.6901061276315529,0.6210918698713597,0.5332716557919422,0.0005,4.274878740310669
32,0.8417852551937102,0.708294065543765,0.6402140426920832,0.5490321854904155,0.0005,4.289767503738403
33,0.8381696479320526,0.7128271466050966,0.6708465925875672,0.5112707169173782,0.0005,4.210737228393555
34,0.8507973487377166,0.720031378965906,0.6179043068693131,0.5560580867279014,0.0005,4.25075364112854
