round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9556224427223207,0.5671041807135287,0.5381110630925932,0.43678514315864214,0.0005,4.295698642730713
2,0.9510224113464355,0.5787393733230022,0.5448879064383217,0.4278020273850789,0.0005,4.246543645858765
3,0.9147203617095947,0.5750140554533302,0.5024842905548881,0.4369720466197986,0.0005,4.2600626945495605
4,0.8975975632667541,0.5741555147301061,0.4270388891233427,0.47072031171661266,0.0005,4.251650333404541
5,0.888474620103836,0.584310366893436,0.4178351815714306,0.48595273348707396,0.0005,4.201811075210571
