name,arch,algorithm,partition_mode,alpha,n_clients,seed,lr,lr_warmup_rounds,test_auc,test_acc,test_f1,best_val_auc,duration_s,status
v7_lstm_fedswa_iid_n7_s42,lstm,fedswa,iid,,7,42,0.0005,3,0.9183331700301087,0.8473743860974688,0.7685680921849869,0.9244580797554054,204.58,ok
v7_lstm_fedswa_iid_n7_s0,lstm,fedswa,iid,,7,0,0.0005,3,0.9186214977232552,0.8504802243468659,0.7708981208409104,0.9234664237508561,201.81,ok
v7_lstm_fedswa_iid_n7_s1,lstm,fedswa,iid,,7,1,0.0005,3,0.9172694714192259,0.841373398041324,0.7647325036366575,0.922976323328,199.15,ok
v7_lstm_fedswa_iid_n7_s2,lstm,fedswa,iid,,7,2,0.0005,3,0.9179525616036164,0.8439447311283352,0.7672580391756232,0.9233952001081601,199.8,ok
v7_lstm_fedswa_iid_n7_s3,lstm,fedswa,iid,,7,3,0.0005,3,0.91782971457654,0.8426281878303035,0.7659833225556031,0.9235198029264898,199.75,ok
