round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9565623188018797,0.6385353844388815,0.5795921180066059,0.47393779938208475,0.0005,2.275216579437256
2,0.9014192378520965,0.6967075226372543,0.5822764659344228,0.5274648376716571,0.0005,1.7061264514923096
3,0.8307037830352784,0.7725619030926939,0.6277100562350858,0.584104109886608,0.0005,1.6569743156433105
4,0.7537933245897295,0.8366454540932893,0.7275469654047649,0.6408088354397931,0.0005,1.622089147567749
5,0.696180871963501,0.8616313238429062,0.786351012279623,0.6822977278666985,0.0005,1.6226470470428467
