name,arch,algorithm,partition_mode,alpha,n_clients,seed,lr,lr_warmup_rounds,test_auc,test_acc,test_f1,best_val_auc,duration_s,status
v7_mamba_fedavg_iid_n7_s42,mamba,fedavg,iid,,7,42,0.0005,1,0.8908170261902634,0.8278395197548957,0.7371971583743671,0.8953200307172923,48.52,ok
v7_mamba_fedbn_iid_n7_s42,mamba,fedbn,iid,,7,42,0.0005,1,0.8908170261902634,0.8278395197548957,0.7371971583743671,0.8953200307172923,43.92,ok
v7_spiking_expand2_fedavg_iid_n7_s42,spiking_expand2,fedavg,iid,,7,42,0.0005,1,0.5929515338708875,0.42466590832665635,0.5034281916132477,0.584310366893436,58.73,ok
v7_spiking_expand2_fedbn_iid_n7_s42,spiking_expand2,fedbn,iid,,7,42,0.0005,1,0.5929515338708875,0.42466590832665635,0.5034281916132477,0.584310366893436,59.19,ok
