round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9558715867996215,0.5521138197617151,0.30016298399060237,0.461731317821877,0.00016666666666666666,4.142042875289917
2,0.9467536845207214,0.5883279076888533,0.6058132559243959,0.39012601586707296,0.0003333333333333333,4.216752767562866
3,0.922466312646866,0.5866384186926367,0.5559538302840388,0.41414088731890086,0.0005,4.244740724563599
4,0.9110831854343415,0.5888304648560073,0.4802733814717492,0.45018324230085643,0.0005,4.265487432479858
5,0.9011952786445617,0.5769583292234366,0.43935590607292985,0.48312289796515395,0.0005,4.311319351196289
6,0.8732001919746398,0.5879355339589664,0.4234501429782533,0.49476877273301784,0.0005,4.264305114746094
7,0.8869565007686614,0.6249603715110452,0.42089079752110486,0.49788397896253134,0.0005,4.258098840713501
8,0.8835233852863311,0.6370069887506686,0.49456586481677256,0.50210125380599,0.0005,4.264287233352661
9,0.8790562584400178,0.6297986716232932,0.5181480616871167,0.49049718957212923,0.0005,4.2589757442474365
10,0.8659117405414583,0.6276985946581702,0.5231812808265975,0.48680218368103767,0.0005,4.252594232559204
11,0.8763557968139649,0.6226230144235341,0.5001113804065572,0.48942844126047924,0.0005,4.198516607284546
12,0.8842856545448304,0.6297947217729254,0.4713640173443599,0.5037417939047097,0.0005,4.212750196456909
13,0.8770975766181947,0.6291882708733918,0.5478714055779949,0.4874026125043606,0.0005,4.2145538330078125
14,0.880943766117096,0.6329917150172826,0.45842305643861553,0.5065518124198728,0.0005,4.234113454818726
15,0.8708467934131623,0.6278777628338783,0.5814917282018929,0.45893338121745375,0.0005,4.207173109054565
16,0.8760381331443787,0.631067592020555,0.5190246815775739,0.4962198359019351,0.0005,4.2248148918151855
17,0.880860059261322,0.6345749005779258,0.4440686060568505,0.5060903233032642,0.0005,4.252763032913208
18,0.8770506434440613,0.6287382522178833,0.5736197777413335,0.4620044810042626,0.0005,4.251598834991455
19,0.8812892045974732,0.627815815759308,0.4914846073346535,0.49470028812936734,0.0005,4.229164123535156
20,0.8742629072666169,0.621664947411948,0.5429808174627383,0.4668060640999673,0.0005,4.252547979354858
21,0.880135418176651,0.6204536369881217,0.44281003417268394,0.4991503160324969,0.0005,4.259084701538086
22,0.8728304467201232,0.6271289345900037,0.6078934252439818,0.4299556939660696,0.0005,4.2125842571258545
23,0.8760488655567169,0.6286212808552697,0.609812800787195,0.4228889369979821,0.0005,4.226909875869751
24,0.877293250322342,0.6320451169095767,0.46065493815849995,0.4959879073120227,0.0005,4.251203298568726
25,0.8802708837985993,0.6461980013632672,0.42740321256349617,0.5049670479893963,0.0005,4.2526257038116455
26,0.8782490069866181,0.6429123306730858,0.5722020146765722,0.4783761320646567,0.0005,4.261499881744385
27,0.8686340150833131,0.6523369151881748,0.5354459463141098,0.48746824774713715,0.0005,4.24982213973999
28,0.865119378566742,0.6676599172449843,0.6101739190357929,0.48529826660046044,0.0005,4.2337541580200195
29,0.8626923520565033,0.6880628032041531,0.5922793345808651,0.5146766134355141,0.0005,4.218801736831665
30,0.8444332048892974,0.7081950219749908,0.6292757923099975,0.5311889060475498,0.0005,4.208507776260376
31,0.8196934821605681,0.7306472678653346,0.6667006773103955,0.5476759747537651,0.0005,4.19603705406189
32,0.799807874917984,0.7472983771446331,0.676957290288323,0.5664520162371507,0.0005,4.218576669692993
33,0.7829104113578795,0.7687339254798156,0.6902497538679985,0.5787560742958394,0.0005,4.252098083496094
34,0.7572367951869965,0.7900049682735203,0.7180206019029223,0.5992418427488021,0.0005,4.263052701950073
35,0.7563168640136719,0.7963988094489529,0.7122149315985412,0.6111333675480938,0.0005,4.26233434677124
36,0.7571828758716583,0.8022895550680451,0.725854624263407,0.6157457463153702,0.0005,4.249661207199097
37,0.7319704985618591,0.803565629887329,0.7178314956011417,0.6151457459466037,0.0005,4.216921091079712
38,0.7285915924310685,0.8144438366139174,0.7306410436531063,0.6307327490245246,0.0005,4.237733364105225
39,0.7093650131225586,0.8148832160591746,0.7306800401503663,0.6308540650885711,0.0005,4.251546621322632
40,0.73426669216156,0.8162893327094298,0.7284924969136677,0.6309253226712986,0.0005,4.240657329559326
41,0.7126084340810775,0.8090959581767868,0.7275432260146167,0.6273273363238006,0.0005,4.232161283493042
42,0.732926007270813,0.8109811653649837,0.7243962621056078,0.6240351654501783,0.0005,4.280798673629761
43,0.6846699876785278,0.8191426064417524,0.741135375004741,0.6310040791835236,0.0005,4.261014223098755
