round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9550168943405151,0.6103986320533927,0.30016298399060237,0.461731317821877,0.00016666666666666666,2.034335136413574
2,0.9540085532665252,0.6493623082590408,0.3416600648623931,0.4751449498180195,0.0003333333333333333,1.5163006782531738
3,0.8533606309890747,0.795644733319586,0.6753135612188916,0.6080465751852232,0.0005,1.5189950466156006
4,0.6773055194616318,0.87019090757109,0.7350487162406522,0.6591001099036299,0.0005,1.5294110774993896
5,0.6264171860218049,0.8851899210350929,0.7877869380965329,0.6995456749113775,0.0005,1.5205535888671875
6,0.5924808562994003,0.8924037915369127,0.7999885681501183,0.7136246542820079,0.0005,1.5308482646942139
7,0.565237708568573,0.8940220984488803,0.8078418216599367,0.7198119372781535,0.0005,1.5115957260131836
8,0.5979267538785934,0.8979752103322257,0.8175909459748937,0.7301598590831395,0.0005,1.5289251804351807
9,0.5647909483313561,0.9009762748978359,0.8258357670530881,0.7375988242897489,0.0005,1.5193333625793457
10,0.568338003873825,0.9024441334298693,0.823015198484158,0.7368004607654267,0.0005,1.5193710327148438
11,0.5626965556740761,0.9040938475849563,0.8302268794842633,0.7435934465696308,0.0005,1.5251829624176025
12,0.5781105229854584,0.9055433964668844,0.8325410277874082,0.7463197479681837,0.0005,1.5184895992279053
13,0.5721259928941727,0.9066157843843153,0.8401298529938893,0.7515497475822942,0.0005,1.6616003513336182
14,0.564581038415432,0.9073697707565664,0.8361548812663498,0.7498703323731949,0.0005,1.528444766998291
15,0.5750318706035614,0.9087045172757637,0.8385096286625323,0.7519259743115894,0.0005,1.5467991828918457
16,0.551769504070282,0.9086767077569573,0.8355133087566368,0.7502050438765502,0.0005,1.5366828441619873
17,0.550759998857975,0.9091648354366789,0.84075860473738,0.7540218768978902,0.0005,1.52109956741333
18,0.5502990660071373,0.9102757071732386,0.8400101925091468,0.75457365166905,0.0005,1.528416633605957
19,0.5513039516210556,0.9105174326440716,0.8394834726968429,0.7540852661980487,0.0005,1.5222358703613281
