round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9503322157859803,0.6367630513209194,0.6405099887123837,0.4249403963323449,0.0005,1.7485647201538086
2,0.9256171433925628,0.6554564044190259,0.5429845568528865,0.5024791254496795,0.0005,1.7679662704467773
3,0.9004336943626404,0.6657031629905618,0.5330634205911121,0.5098705717563595,0.0005,1.806778907775879
4,0.884182389497757,0.6764278609655735,0.5584779186340756,0.5150655868611537,0.0005,1.8114540576934814
5,0.8812327861785889,0.686739197857584,0.5722981704232402,0.52255205972855,0.0005,1.785945177078247
