round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9503322157859803,0.6367630513209194,0.6405099887123837,0.4249403963323449,0.0005,1.836014747619629
2,0.929787365436554,0.6514544808455218,0.5497726183690597,0.4986791991563054,0.0005,1.8557114601135254
3,0.9086878402233124,0.657921878263917,0.5464493689244926,0.5041656787317368,0.0005,1.902437686920166
4,0.8930959136486054,0.6645026062087509,0.5626403940676178,0.5063351131022548,0.0005,1.8399584293365479
5,0.8901723079681396,0.668074450228769,0.5648973831213544,0.5092628965982624,0.0005,1.853642225265503
