round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9470157191753387,0.644107250619865,0.6222088791284871,0.4643489312518604,0.0005,1.8053393363952637
2,0.9533542351722717,0.6443839570273987,0.6691654696166538,0.37195260463569174,0.0005,1.792041540145874
3,0.9446715002059936,0.6440247733140365,0.6206992339057984,0.4654796919215606,0.0005,1.8208281993865967
4,0.951656201839447,0.6452318742708247,0.6680009166847849,0.37789909691316875,0.0005,1.8225481510162354
5,0.940915768623352,0.6439729873849419,0.6201442015680866,0.4656858177664898,0.0005,1.830155611038208
