round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9532279455661774,0.7391540857092703,0.706246330723417,0.44537079435906024,0.0005,2.7643253803253174
2,0.7805449721813202,0.8693970460737757,0.8213436910879115,0.7096922601500679,0.0005,1.5789406299591064
3,0.6291719250679015,0.8864775689498419,0.8231519533238638,0.7258239906182218,0.0005,1.5482497215270996
4,0.5755198312997818,0.8905734461340227,0.8320896299766609,0.7356145878719264,0.0005,1.5363998413085938
5,0.5915970797538758,0.8953200307172923,0.8384433880370499,0.7440174702058505,0.0005,1.5459728240966797
