round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,1.6401629009246825,0.644107250619865,0.6222088791284871,0.4643489312518604,0.0005,2.4179487228393555
2,1.5397627296447756,0.6642473152449121,0.5839474391320769,0.5006049794909708,0.0005,2.4126789569854736
3,1.3252128071784974,0.6672435671054883,0.5664374776638214,0.5077956377904527,0.0005,2.4712984561920166
4,1.2682643208503723,0.6750811472160757,0.5657617164441818,0.5133038278142206,0.0005,2.4023842811584473
5,1.21411860704422,0.6800456762804972,0.5676848313775432,0.5173388203017832,0.0005,2.41239333152771
