arch,algo,partition_mode,alpha,n_seeds,auc_mean,auc_std,test_auc_mean,energy_total_J_mean,energy_total_J_std,energy_model_J_mean,energy_model_J_std,steady_round_s_mean
mamba,feddyn,dirichlet,0.5,10,0.76708978954071,0.031121791420528216,0.7622048199916027,22048.7538,126.78043744451303,10765.266123482346,293.4882303633985,1.8983517039905895
mamba,feddyn,dirichlet,1.0,10,0.7369780824697881,0.0190250698454936,0.7310569357417458,21991.9578,121.12809709724594,10846.567253874553,194.82678373250067,1.8961336680132934
mamba,feddyn,dirichlet,5.0,10,0.73586439854554,0.013502874698828302,0.7257558860846706,21821.1966,97.81455473633177,10979.152793754052,205.7572881130551,1.8758039679190126
mamba,feddyn,iid,,10,0.9169946889471332,0.0029161196409476374,0.9109950164151662,21883.6574,130.15076520131834,10803.28203445084,314.39902469549355,1.8809031419079711
mamba,fedprox,dirichlet,0.05,10,0.8767922629301259,0.013914945705083021,0.8681833037524106,20824.3655,396.75253709760835,10577.51387893306,208.30679324742735,1.718189957406786
mamba,fedprox,dirichlet,0.1,10,0.8548048088299283,0.027287992820642808,0.8485035389466707,20532.9041,337.52880707329615,10496.340003765023,297.85770791582524,1.6745285171450992
mamba,fedprox,dirichlet,0.5,10,0.7833697080101507,0.022424066521997504,0.7742706273302635,20180.185699999998,142.60133731494602,10751.521308999752,209.2589023752547,1.624479695763251
mamba,fedprox,dirichlet,1.0,10,0.7570292713547552,0.011716015007632488,0.7454300007890798,20145.7635,140.7413337030031,10393.201234946382,237.84997759709393,1.6189829390458386
mamba,fedprox,dirichlet,5.0,10,0.7465489279546419,0.0072762017654492556,0.7361120172783648,19982.304,78.57352996044126,10324.326459061087,333.8668226245199,1.598489508966003
mamba,fedprox,iid,,10,0.9210112323999446,0.0007997782909082183,0.9153211068772793,20039.7666,103.43073605633549,10351.250223802113,292.25386811628624,1.5992695955315022
mamba,scaffold,dirichlet,0.05,10,0.8378464645834498,0.041257905697664445,0.8300899027592598,23271.0102,794.5661451632021,11036.695457243968,467.8335768716934,2.0552596422156904
mamba,scaffold,dirichlet,0.1,10,0.766024710130863,0.08782601990198478,0.7609126237556019,22474.528700000003,585.5089757926762,10992.084701609945,398.5688068773928,1.9586491050142232
mamba,scaffold,dirichlet,0.5,10,0.702488492859666,0.049172010912820384,0.6955370516874636,21881.6099,138.56271077622384,10774.199977950322,327.1778487525209,1.864413204578438
mamba,scaffold,dirichlet,1.0,10,0.6990300618434778,0.024900518365770834,0.6924643607328564,21860.4628,95.90061948797695,10763.631800183011,252.0671495651321,1.8782336456607087
mamba,scaffold,dirichlet,5.0,10,0.685105598873107,0.03003245322081671,0.676040859607155,21814.5301,81.79176581138445,10946.983992758109,219.0406296895918,1.8558017911333025
mamba,scaffold,iid,,10,0.9038460478000271,0.022652142287466655,0.8997607651194791,21710.591099999998,88.91876052448738,10841.311776438355,300.1176452316577,1.8543371398039539
spiking_expand2,fedadam,dirichlet,0.05,10,0.7126763232646486,0.049373883543406,0.7080152401498436,65150.8938,615.0069965525781,40587.76694368166,736.63088175902,4.2513657430205685
