round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9459705708026886,0.635198754892737,0.6998370160093976,0.0,0.00016666666666666666,2.0151419639587402
2,0.9512627744674683,0.673488783362736,0.6506442702126057,0.4093150293951084,0.0003333333333333333,1.512063980102539
3,0.8264720523357392,0.8311961600050994,0.7512888876542966,0.6474394992435039,0.0005,1.5154054164886475
4,0.6692208231687545,0.8748694454865913,0.7759234557520635,0.6842379828592722,0.0005,1.513817548751831
5,0.6188497205972672,0.8889143339862996,0.791786482959332,0.7051955792346255,0.0005,1.5117902755737305
6,0.589287122130394,0.8967233667173161,0.831263224753908,0.7388115794147779,0.0005,1.521449327468872
7,0.571941134095192,0.898892156637714,0.8336265193275721,0.7418643914673395,0.0005,1.5162451267242432
8,0.584950966477394,0.9009920929837633,0.8377216857384467,0.7462950079799828,0.0005,1.5299079418182373
9,0.5394295932054519,0.9022293390890224,0.8391752401089124,0.7480057788469426,0.0005,1.5296313762664795
10,0.5780939050912857,0.9040995432222283,0.8364828792022064,0.7477681330434969,0.0005,1.5159587860107422
11,0.5712651538848876,0.9050485727184538,0.8417794582478393,0.7511826224437419,0.0005,1.526158094406128
12,0.5545337065458298,0.9056994142166189,0.8443110253781725,0.752621527335693,0.0005,1.5194597244262695
13,0.5509807385206222,0.9063805663322202,0.8429840760741532,0.7529144740160393,0.0005,1.6878249645233154
14,0.5549118040800095,0.9074453852796787,0.8439851642366863,0.753789424344712,0.0005,1.5191740989685059
15,0.5474408237934113,0.9079725996619638,0.8415497528530211,0.7526396594816335,0.0005,1.5397601127624512
16,0.5408013333082199,0.9082627960245386,0.8413424837990922,0.7524779210215543,0.0005,1.54195237159729
17,0.5461022872924804,0.9093475338354692,0.8447741755579571,0.7546525559611229,0.0005,1.5459396839141846
18,0.56890471470356,0.9099424014808669,0.8402671420321876,0.7535092376125644,0.0005,1.5353937149047852
19,0.5633673754930496,0.9108209576381067,0.8422292534628089,0.7549303768635941,0.0005,1.5418734550476074
20,0.5581923852562903,0.9113903617432195,0.8459878747603452,0.7573711030039848,0.0005,1.5554735660552979
21,0.5448349624872207,0.9117253398968063,0.8450193727119607,0.7577513101158647,0.0005,1.5443384647369385
22,0.5595512263774871,0.912167317896962,0.8422201720867346,0.7560024981495189,0.0005,1.5403554439544678
