round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9683630297183992,0.5524467460913012,0.30016298399060237,0.461731317821877,0.00016666666666666666,4.15008807182312
2,0.9612459990978242,0.5736775873090529,0.5410769336787106,0.43656635415334466,0.0003333333333333333,4.205648422241211
3,0.933594836473465,0.5843140636953571,0.5464750104569375,0.43506503876773694,0.0005,4.225780725479126
4,0.933067067861557,0.5758860908162939,0.4775569816283762,0.43995515032543503,0.0005,4.2195422649383545
5,0.9059385838508607,0.5768917152013349,0.43563307608109775,0.4742231100679919,0.0005,4.16063117980957
6,0.8879581000804901,0.5738699520174984,0.42418039245433803,0.4937543120068344,0.0005,4.1895668506622314
7,0.9014720559120178,0.5789618238098359,0.4187288958168511,0.4999214116128819,0.0005,4.238585710525513
8,0.8943716816902161,0.6047556162210551,0.4169286465597878,0.5002033093635867,0.0005,4.213377475738525
9,0.8796959536075593,0.5942189097946907,0.4505655293400564,0.47862772143422355,0.0005,4.190505266189575
10,0.8713217871189117,0.5999192401431656,0.49756271892126075,0.4651830859056037,0.0005,4.174292802810669
11,0.881973834514618,0.6012510904915501,0.4638729504803247,0.4829332580444397,0.0005,4.207406044006348
12,0.8844006004333498,0.6086015315500695,0.44489234028664026,0.49531787502774405,0.0005,4.221806526184082
13,0.8816682412624359,0.6220654493698766,0.4196797693116798,0.5042409351323576,0.0005,4.200208902359009
14,0.8734794397354125,0.646505096417644,0.6079911835864277,0.46485822672930427,0.0005,4.252311706542969
15,0.8736006987094879,0.6553567247949119,0.5670560796340526,0.5129427404005931,0.0005,4.225628137588501
16,0.8620774288177492,0.6606072299930367,0.6345643583767414,0.4842714095947191,0.0005,4.222368240356445
17,0.8465661273002626,0.6718548203506784,0.6165901783315162,0.5101297417791189,0.0005,4.27615761756897
18,0.8642078235149384,0.6416985802283147,0.5831082131431017,0.4804449338444516,0.0005,4.2141432762146
19,0.8730223956108093,0.6184903818281665,0.53177493358576,0.47565583400932754,0.0005,4.237109184265137
20,0.8795660986900329,0.6233770901976599,0.5486272965865244,0.4650344138128833,0.0005,4.262949228286743
21,0.8774702062606812,0.6237312127946932,0.5052396868955209,0.49529584797619286,0.0005,4.21954607963562
22,0.8714525339603425,0.62723017453939,0.5553298863278815,0.46886529157962303,0.0005,4.236792325973511
23,0.8760778710842132,0.6325273097668099,0.5883994502028085,0.448418024859456,0.0005,4.207796573638916
24,0.8672246191501618,0.6485191810395617,0.607274289075158,0.4571625614890579,0.0005,4.247281312942505
25,0.868524385690689,0.6615408601931213,0.6098918621788999,0.48544484231501484,0.0005,4.218048810958862
26,0.8545710453987121,0.6623403995547879,0.6190603126237003,0.4790256511037843,0.0005,4.238870859146118
27,0.8693021802902221,0.6505750476592944,0.6323864307147097,0.4346279388651957,0.0005,4.211534738540649
28,0.8657524590492249,0.6328050598310752,0.5852631702656517,0.448154192587201,0.0005,4.224339246749878
29,0.8649432506561279,0.6207761320572726,0.6146237933121541,0.4169255737715518,0.0005,4.2096617221832275
30,0.8827901499271391,0.6662621590726221,0.5555467709564772,0.5032129938462898,0.0005,4.221667289733887
31,0.8533597338199617,0.6707392697452959,0.668810761751167,0.44377694879124074,0.0005,4.173534631729126
32,0.8596472742557527,0.6793871069435419,0.6201917452428279,0.49484856903116436,0.0005,4.312223672866821
33,0.8495720064640044,0.6701608230020156,0.6588340688357622,0.4618133095131755,0.0005,4.275418519973755
34,0.8485282545089721,0.6624836984847159,0.6585701747310176,0.47543297806507107,0.0005,4.2087242603302
35,0.8421973197460174,0.6985866340651885,0.687650343516405,0.4664074327906822,0.0005,4.185988187789917
36,0.8304199748039245,0.7189985243311338,0.6941835923039077,0.4815276033114736,0.0005,4.22250771522522
37,0.8329066426753998,0.6932057431688824,0.6106263852437255,0.5033838221076378,0.0005,4.228657484054565
38,0.8438456828594207,0.7003193364917694,0.6392540878211802,0.5090808373722093,0.0005,4.22602105140686
39,0.83352481007576,0.7046062935651884,0.6710410408752737,0.4967700232002635,0.0005,4.247472524642944
40,0.8347260484695435,0.7031132581649154,0.6607881672874945,0.4972646099911803,0.0005,4.248794078826904
41,0.8235103216171265,0.7036577747384809,0.6668331585613605,0.48902889633531876,0.0005,4.274329662322998
42,0.8343915910720826,0.710171877858625,0.651286911119504,0.5172788636740103,0.0005,4.242310523986816
43,0.8305934972763062,0.7127857828733757,0.6439646510107304,0.5181763304669059,0.0005,4.19374942779541
44,0.8332794790267943,0.7155873818310484,0.677026736105361,0.5196152434286114,0.0005,4.235638856887817
45,0.8369551551342009,0.7162856789631298,0.6597470142305163,0.5114055563780522,0.0005,4.218364000320435
46,0.8061685626506805,0.7367263254244891,0.6960244406540087,0.5271020581159077,0.0005,4.236965656280518
47,0.798715880870819,0.7402250936762539,0.6848474035010307,0.5512012768178146,0.0005,4.282356023788452
48,0.787831063747406,0.7464018850270853,0.7175494387442487,0.5461387583424537,0.0005,4.251567125320435
49,0.8070080559253693,0.7474838854429654,0.6565722719946923,0.5632350083768026,0.0005,4.2528252601623535
50,0.7803245964050294,0.7583757229406474,0.7009449438904508,0.5729811532605744,0.0005,4.233168601989746
51,0.7748128097057342,0.7656415258565277,0.7227664221995841,0.5832371673641209,0.0005,4.22631049156189
52,0.7802563500404359,0.7738800577186103,0.7111438634203774,0.5945648865035413,0.0005,4.2056496143341064
53,0.7699907677173614,0.7803687669895615,0.7236190031533742,0.6025570017184441,0.0005,4.193865060806274
54,0.78007146525383,0.7802955970355662,0.7149094292996175,0.6035901865955176,0.0005,4.256386995315552
55,0.7573025498390197,0.7891567514681657,0.7173459090804679,0.6076317514556656,0.0005,4.263552904129028
56,0.7355780707597732,0.8021674051428838,0.7383260246062556,0.6184492578421964,0.0005,4.267073631286621
57,0.7370732290744781,0.8003684005428507,0.7365215017604515,0.61715224272645,0.0005,4.2475457191467285
58,0.7347745015621185,0.8006159332075089,0.735198826045173,0.6187601232401136,0.0005,4.244268417358398
59,0.7390620874166489,0.8036159861926835,0.7124633339441004,0.6221769863052161,0.0005,4.246108055114746
60,0.7301845669746398,0.8085397975879252,0.7424051650593522,0.6212052417663388,0.0005,4.280905723571777
61,0.7322839316129685,0.8128534400338154,0.7247728721133911,0.6275386384880476,0.0005,4.214925765991211
62,0.7355754957199097,0.8109641146721308,0.7159083806677803,0.6238493046139569,0.0005,4.286957025527954
63,0.7420215351581574,0.8156959588301756,0.7231879048891457,0.6298160589114414,0.0005,4.274712085723877
64,0.7187325288057327,0.8161530002606765,0.7478165968023941,0.6252254626748129,0.0005,4.2564239501953125
65,0.7383376724720001,0.8160461993443328,0.7377154356149134,0.6291540939526347,0.0005,4.217827558517456
66,0.7352810888290404,0.817693770782619,0.7359963845439252,0.631637007360477,0.0005,4.233505010604858
67,0.7360370287895203,0.8181154925136759,0.7351699793211725,0.6321692393075387,0.0005,4.275410175323486
68,0.7245736272335052,0.8158826370173909,0.7432678957864017,0.6260334613885208,0.0005,4.234109163284302
69,0.7129255962371828,0.8191902681385639,0.7455980700473247,0.6283025804049692,0.0005,4.247133493423462
70,0.713231315612793,0.814691217138281,0.745828843839328,0.6169525037817768,0.0005,4.244706869125366
71,0.718806500196457,0.8169183137657479,0.7364370983828206,0.6260714691727614,0.0005,4.245276212692261
72,0.7255706179141999,0.8143650413291302,0.7163774070320834,0.6247092178729486,0.0005,4.240961790084839
73,0.7350464323759078,0.8183081528166254,0.7193678507534604,0.6269437226731961,0.0005,4.29018235206604
74,0.7263212152719498,0.8159622077777382,0.7222909854521697,0.6277318007059233,0.0005,4.265542030334473
75,0.7073816651105881,0.819987896373416,0.7324044332072803,0.6297688794745373,0.0005,4.249656438827515
76,0.7292437613010407,0.822750667193057,0.7280143891732903,0.6317432465371076,0.0005,4.258171558380127
77,0.7064669630527496,0.8219336103029105,0.7337570240437444,0.6341113896729814,0.0005,4.274289608001709
78,0.7217132577896118,0.8266518464640047,0.7301127212450246,0.6380016608879517,0.0005,4.280383825302124
79,0.7121623972654343,0.822166187857212,0.7317468347397892,0.6326441631710704,0.0005,4.271082401275635
80,0.7115433133840561,0.82486343100018,0.7366539830114164,0.635861753126362,0.0005,4.266502141952515
81,0.735602583885193,0.8263268789722585,0.7340118367724149,0.6388157054815984,0.0005,4.230518341064453
82,0.7283235422372818,0.8286608259787983,0.7361320709864457,0.6401916642932015,0.0005,4.230346202850342
83,0.7173273131847382,0.82811505715341,0.7260773850765213,0.6396588665943791,0.0005,4.242315053939819
84,0.7383196738958359,0.8277077859566283,0.732365970908613,0.6408319491172442,0.0005,4.237238645553589
85,0.709015588760376,0.8274100818708962,0.7252696768045095,0.6393009964223619,0.0005,4.232983589172363
86,0.6989834481477737,0.8258362726549214,0.7416642316114154,0.6406525982735393,0.0005,4.19585657119751
87,0.7194037613868713,0.8263863849384253,0.7290021223710084,0.640129959494066,0.0005,4.196262359619141
88,0.6978118649721146,0.8281536846753494,0.7461354738314806,0.6386421201588613,0.0005,4.241778373718262
89,0.7182957025766372,0.82697266565334,0.7279529563351412,0.6379152944388512,0.0005,4.222565650939941
