round,train_loss,val_auc,val_acc,val_f1,lr,duration_s
1,0.9470157191753387,0.644107250619865,0.6222088791284871,0.4643489312518604,0.0005,2.402926206588745
2,0.9126933450698853,0.6711595149152868,0.5142350569963189,0.5128727913225708,0.0005,1.7466394901275635
3,0.8909743523597717,0.6801243659703956,0.5398600292847668,0.5182023867122717,0.0005,1.7599692344665527
4,0.8785901355743407,0.6923632616390429,0.5852054768176508,0.5258461711321119,0.0005,1.74192476272583
5,0.8774343385696411,0.7068372189357163,0.6006550343142466,0.5376079113217432,0.0005,1.7511866092681885
